"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCR2",1422.31973682116,0.926114552317319,0.275572842491821,3.36068875271992,0.000777483859685744,0.208195599801473
"AGRN",73.1028435125863,1.46699776840106,0.437813336925183,3.35073796221915,0.000805965286553474,0.212502047399284
"LIN7A",2844.65272908998,-0.815895997602095,0.245202435848612,-3.327438386892,0.000876483688932305,0.227593597892755
"PSAT1",989.420978252089,-1.66799375166331,0.502437748193645,-3.31980182153918,0.000900813708965516,0.23042007976494
"PSMG3-AS1",97.6189362569608,0.844498182278453,0.256287611606926,3.29511901485773,0.000983800041122064,0.244091729387889
"SVIL2P",598.809888573762,1.23915100613407,0.376117939541283,3.29458097012162,0.000985685426489668,0.244091729387889
"CISD2",235.338326015908,0.719999356762173,0.218900084666052,3.28916892773516,0.00100483694740151,0.244091729387889
"KCNA6",492.565267223462,1.38818706410534,0.422345288099612,3.28685344247983,0.0010131354627114,0.244091729387889
"PHGDH",445.38269390514,-2.04283201682716,0.622161664247094,-3.28344244626401,0.00102547581491002,0.244091729387889
"SYT11",1251.70831173799,0.77383950256912,0.235962954269212,3.27949573680215,0.00103992781400631,0.244140861321098
"ZNF441",324.250291492587,0.741633314636075,0.22660110897604,3.27285827499853,0.00106465846829019,0.246569146345368
"CHAC1",42.9744619741268,-3.33119832800351,1.02102291290608,-3.26260878761487,0.0011039179412927,0.249308946848323
"SLC19A2",247.417935577121,0.769239458716815,0.235805222318391,3.26218160545302,0.00110558291285288,0.249308946848323
"IL9R",56.4704803684307,2.64196880162251,0.817611649150391,3.2313248036129,0.00123217834556908,0.268534800117498
"HEG1",3145.97088435954,1.02195029558461,0.317631569694795,3.21740781801564,0.00129354587028629,0.268534800117498
"LRATD2",195.07333281553,-1.16422178228365,0.361929637355328,-3.21670750920204,0.00129670722370498,0.268534800117498
"WFS1",107.041553857268,0.702675768956344,0.218526610306388,3.21551580364126,0.00130210325053908,0.268534800117498
"EOMES",819.026750954076,-0.833110308386074,0.259167689607756,-3.21456084918211,0.00130644222028656,0.268534800117498
"PRR5",219.569405601267,0.987678369283139,0.307455663142444,3.21242535976821,0.00131619344205099,0.268534800117498
"ERVK13-1",971.036692990542,0.48669808475918,0.152642805592772,3.18847706493037,0.00143024355370196,0.283936814171886
"TCTN3",644.348868441973,0.986082262851085,0.309357547102707,3.18751642585175,0.00143500307047705,0.283936814171886
"RBIS",466.872823941529,0.581407535125878,0.182655030224592,3.18309073892453,0.0014571194267765,0.283936814171886
"TPTEP2-CSNK1E",180.191894085297,1.00486087891884,0.315930109374231,3.18064296217029,0.00146948613501124,0.283936814171886
"TSPYL4",298.363876948921,0.566338870997969,0.178113508541479,3.17965142360935,0.00147452307511366,0.283936814171886
"PLXNB1",65.6679702048942,1.32517828232889,0.417700233802897,3.1725581531616,0.00151102294423247,0.285142574416837
"LINC01215",376.588423380721,0.811542392966476,0.255847670075064,3.17197492057823,0.00151406081642736,0.285142574416837
"AHI1",9636.75367589148,0.66588755347745,0.21016730202808,3.16836894727079,0.00153296844571681,0.285565361116246
"GATA3",5457.27269472841,1.05504752373586,0.33344597323923,3.16407336842817,0.00155577570722445,0.286697678176479
"LIG1",1149.06027727343,-0.419589310421254,0.133523281036173,-3.14244307932772,0.0016754428584302,0.305465316040179
"LINC02073",48.860058301403,2.33657119820483,0.746789119139177,3.12882330275272,0.00175507814805916,0.313985461554346
"PXYLP1",856.891354621615,1.02433526189298,0.327727133302632,3.12557355739931,0.0017745868265915,0.313985461554346
"MYOF",426.51979777268,0.773594629985709,0.247538318368796,3.12515102745897,0.00177713792570729,0.313985461554346
"LINC02341",1164.55964881589,1.36193300966577,0.437834744018405,3.11060971810067,0.00186701521360091,0.326499048272371
"KIF24",917.039432148722,-0.394656067425719,0.127514495352502,-3.09498983887855,0.00196819639729482,0.337309498568386
"CIT",5078.86116530306,-0.494262734020397,0.159956119205985,-3.08998953259116,0.00200163549440489,0.33964385250605
"SLC9A7",2236.84898483348,0.498112212800938,0.161592864713244,3.08251365977617,0.00205260309751476,0.343903160238075
"RAB4A",1080.85642328818,0.412804773791249,0.134007881493401,3.0804514569658,0.00206687043438684,0.343903160238075
"SLC7A11",1747.31062566803,-1.74987146978565,0.569026701896195,-3.07520097730822,0.00210360749175391,0.346650242246909
"LLGL2",403.087965139353,0.714047575541916,0.232695322741318,3.0685944484398,0.00215068332959049,0.346908206333588
"EPB41L4A",747.851650881636,0.974244421125199,0.31779425553498,3.06564515927181,0.00217200916374899,0.346908206333588
"TAB3",1504.95473841276,0.452622980632223,0.148012332246211,3.05800857106492,0.00222813203033786,0.346908206333588
"CKAP4",655.800388305606,1.60350556669476,0.525071612169664,3.0538797556944,0.0022590260619982,0.346908206333588
"ACTN1",1588.76910378526,1.37679853844391,0.450918668655616,3.05331899996233,0.00226325207743411,0.346908206333588
"IL23A",117.632788123186,0.918490189233971,0.30083379356766,3.0531483126991,0.00226453986256441,0.346908206333588
"TRR-TCG1-1",32.2916593089575,2.61557573357599,0.857464158397561,3.05036158999813,0.00228566003706156,0.346908206333588
"GK",621.633406347311,0.747064001378364,0.245252128326052,3.04610608877235,0.0023182602221225,0.346908206333588
"SPNS3",118.97979214393,-1.39588771833886,0.458369285416597,-3.04533432485597,0.00232421790578986,0.346908206333588
"ADAM8",1714.75243735364,0.595379816000767,0.195535600134264,3.04486658998132,0.00232783543752845,0.346908206333588
"TCN1",88.7852502094379,1.23076802464389,0.406079707490475,3.0308533077161,0.00243863693963615,0.35819288566084
"CYSTM1",596.123118853126,-0.482549419255977,0.159256078028828,-3.03002199494469,0.00244535929643589,0.35819288566084
"ENPP6",240.267510555979,1.43133600637754,0.472981174920114,3.02620079249305,0.0024764778662536,0.358533382687864
"GMFG",167.895068531579,-2.31662362814496,0.765924290002097,-3.02461177741029,0.00248952459679401,0.358533382687864
"ARNTL",5226.55459534696,-0.387276231723609,0.128574646401224,-3.01207308410628,0.00259470119948001,0.370566576305736
"RAD54L",810.559724664633,-0.485036096272983,0.161489984933562,-3.00350573735288,0.0026688851668546,0.375790145286441
"ODAPH",252.438567197874,1.21400225605642,0.404290838963761,3.00279437240782,0.00267513115444893,0.375790145286441
"PLEKHG6",309.386682003776,-0.746709472500615,0.249420832226568,-2.99377347848123,0.00275550438778086,0.383933611364133
"RBM47",737.296681638542,1.50966103186467,0.505191222353411,2.98829624321653,0.00280537488299953,0.387729957619726
"GPR155",739.146771797672,0.752211914034583,0.252676624160338,2.97697468665427,0.00291108044448266,0.397435896002955
"RUSC2",136.398202489881,1.23489631033414,0.414975624749952,2.97582854674473,0.00292198173044535,0.397435896002955
"SORT1",2131.36447594777,-1.00883506756652,0.339446395814476,-2.97200111713043,0.00295865607526546,0.398796942550967
"LINC02752",128.276382369474,1.28297301711641,0.432425727426731,2.9669211051597,0.00300798133438427,0.398796942550967
"TOX",9849.59463107326,0.750930087809062,0.253118449792802,2.96671415467248,0.00301000656749264,0.398796942550967
"NUDT16-DT",294.809902056634,1.18266900929004,0.398852465595578,2.96517913590942,0.00302506725006568,0.398796942550967
"CASTOR1",219.542875109105,0.527086337859007,0.178040697178939,2.96048232910064,0.00307157741905486,0.401837357311162
"NR4A1",50.042580119419,2.0146267894948,0.68203363323799,2.95385255405992,0.00313833910448661,0.404397410320988
"ANKMY1",2666.19975816668,-0.614742979836258,0.208374748671032,-2.95017982628391,0.00317589022122489,0.406182138890688
"MIIP",2879.62117026252,0.855077487240628,0.291297646063439,2.93540815999044,0.00333109202515935,0.416702592169204
"CIAO2A",349.764784026719,0.593582729676471,0.202575438260678,2.93018114522174,0.0033876445962686,0.419810248631915
"FAAH2",1259.44136402232,0.623331619468497,0.213012036039185,2.92627417238446,0.00343048462844652,0.419810248631915
"NCDN",550.946195045785,0.710189949558056,0.242704778397704,2.92614737232043,0.00343188321966469,0.419810248631915
"HMGB3",583.327700505382,-0.842187108695529,0.288010337755396,-2.92415583155487,0.00345391790507061,0.419810248631915
"TNFRSF11A",2829.13016876634,1.00087072262716,0.342639261149873,2.92106257545707,0.00348839754297867,0.421015190785693
"EFCAB13-DT",65.0877121035795,1.85842471529605,0.636818038099396,2.91829785607609,0.00351947986338167,0.421149657420569
"PROK2",145.018417911301,-0.978066429582866,0.335344392861134,-2.91660290258047,0.00353865974259318,0.421149657420569
"ZNF234",269.176267677206,0.556940989197345,0.192396568720621,2.8947553113906,0.0037945419168376,0.44704584463016
"DDX24",53.4178735949992,-2.59836833438856,0.898541079727414,-2.89176354093551,0.00383086149573279,0.44704584463016
"PLB1",237.552452366265,1.00916056788848,0.349392567254336,2.88832866657369,0.00387294957925721,0.44704584463016
"KCTD17",237.100915126,0.572863991472561,0.198412995621377,2.88723019214796,0.00388649775098664,0.44704584463016
"POLQ",4640.81261889278,-0.38534395466031,0.133493239529173,-2.88661774947861,0.00389407006794941,0.44704584463016
"ADAP1",238.408615816037,0.971392545067966,0.336691595462427,2.88511076058733,0.00391275975577803,0.44704584463016
"DUSP22",594.031002682931,0.620427865956087,0.215868571852168,2.87410001665723,0.00405180629367343,0.456895643071785
"MTHFD1L",1349.75429726912,-0.900197388100686,0.313214286063679,-2.87406235332979,0.00405228951726638,0.456895643071785
"KYNU",340.47528843453,1.98410307323783,0.691138408083203,2.87077530351775,0.0040946646914614,0.458655970472324
"LIF-AS1",44.3410238423742,2.4552925595328,0.858298240331151,2.8606519787172,0.00422770864270871,0.470483576095727
"IRF9",31.1218003998172,1.8314611051585,0.642511121535722,2.85047377978605,0.00436541494895424,0.482674073517276
"SEC22B4P",213.324934721878,-0.929185923222593,0.326293897338308,-2.84769629711828,0.00440369268558623,0.48378516183062
"ZBTB2",651.024964526344,0.411193753746814,0.144962978338615,2.83654322268625,0.0045604805073977,0.497818566469948
"VWDE",325.479669890916,1.38249128231565,0.488041321707679,2.83273407562754,0.00461517622069716,0.50060057006524
"LRRC37A3",273.632821259682,-1.9936568088959,0.705910448527052,-2.82423473551901,0.00473936607859087,0.510838087137675
"CSF2RB",928.241251051295,1.46535270109517,0.519939898374181,2.81831170425127,0.00482769178272116,0.51710613607672
"PPP1R26",61.1370822110835,1.60809047144407,0.572774660475067,2.80754471594519,0.00499207486526173,0.531392416402829
"SLC22A18",85.689994687298,1.27104309987828,0.453481401051267,2.8028560750931,0.00506522678216523,0.5358509666219
"MELTF",215.510646876992,-0.933133979850732,0.334239760178515,-2.79181022435019,0.0052414087038038,0.544407650701755
"CHST12",1727.38162307405,0.871655927177475,0.313226438142061,2.78282999464478,0.00538870341782421,0.551943036864744
"RN7SKP203",2716.69314438955,0.997339613540818,0.358565846994952,2.78146851380092,0.00541135795556674,0.551943036864744
"NDUFS5",355.028222016185,0.678152995196443,0.243848887927058,2.78103788359001,0.00541854136243178,0.551943036864744
"BIRC3",2836.76433005832,0.769618085649672,0.277009548385712,2.77830887106478,0.00546426492707738,0.551943036864744
"MYL12A",1600.29791820802,0.45271574082526,0.163127882856133,2.77521986369751,0.00551644007130338,0.551943036864744
"TBC1D31",2721.58493940837,-0.438598616854322,0.158056033279803,-2.7749564996224,0.00552090917936371,0.551943036864744
"RNF222",29.8793318480716,-1.01687873201447,0.366947281887778,-2.77118480557504,0.00558527171502893,0.551943036864744
"CES3",238.372089583732,1.15236335197962,0.416265111481582,2.76833998381006,0.00563426458279055,0.551943036864744
"NDFIP2",4912.37246612395,0.603562404159135,0.218409606616743,2.7634425678823,0.00571951568128609,0.551943036864744
"TOX-DT",31.0246224271653,1.97707536480986,0.715578209746839,2.76290604979338,0.00572892539824573,0.551943036864744
"NTNG2",610.021448344642,0.92765905723634,0.335859304366143,2.76204662243044,0.00574402755262958,0.551943036864744
"FMNL2",2209.83352763104,1.20275165915298,0.435841296077858,2.75960922009125,0.00578705391547607,0.551943036864744
"MUC1",433.951710641491,0.98851208793256,0.358399394306111,2.75812990657084,0.00581330906226705,0.551943036864744
"PAQR7",39.992263702651,1.25562899286615,0.455350771126874,2.75749833421562,0.00582455100766742,0.551943036864744
"OTOF",620.16883207226,1.19593843565494,0.433745612206436,2.75723466013012,0.00582925018511604,0.551943036864744
"ATOX1",288.494791801524,0.571150111767397,0.207587345541524,2.75137248986668,0.005934611880899,0.555997181575188
"PLCG1-AS1",277.667442887519,-0.692178111544755,0.251755021707202,-2.74941133984519,0.00597024117553573,0.555997181575188
"IL10RA",6734.59486570597,0.683865376095995,0.249073787399635,2.74563366637512,0.0060394159457523,0.555997181575188
"MIR124-1HG",115.676133795176,1.65364457716211,0.602649043592762,2.74395951465171,0.00607030238199371,0.555997181575188
"SGTB",802.059062154218,0.349418400822237,0.127413265912693,2.7424020436119,0.00609916385436663,0.555997181575188
"KNTC1",3792.96086973283,-0.439804170126451,0.160508157351182,-2.74007363478846,0.00614254210067316,0.55698881757321
"ZNF815P",232.63117332665,0.687914945145774,0.251294961128733,2.73748005951209,0.00619118733174306,0.558445097323224
"PBXIP1",3868.38098656354,0.495429478496806,0.181237701742105,2.73358950005769,0.00626480946582664,0.562127249347314
"LHFPL6",626.058433644726,0.911442689370994,0.334265695132165,2.7267012518608,0.00639709286677237,0.571007174743463
"TIAM1",3609.68791264355,0.812792455294709,0.298445101290594,2.72342367752017,0.00646091421224308,0.573643529596658
"TRIM58",91.6941409847755,-2.00920918924298,0.73820279930767,-2.72175774885619,0.00649357245546456,0.573643529596658
"CENPH",309.756534121573,-0.63627015065367,0.234823542554792,-2.70956712317381,0.00673710715509812,0.585292885215907
"LINC01943",230.417595101716,1.43864181049282,0.532012999016338,2.70414785569673,0.00684798106281518,0.585292885215907
"CCDC86",161.06125888657,1.21141430233345,0.448226469566768,2.70268354188083,0.00687821977661742,0.585292885215907
"BHLHE40",4956.61686267162,0.595102875367279,0.220296708118863,2.70136980461,0.00690545105523969,0.585292885215907
"DNAAF11",621.876289040758,-0.932606902729921,0.345351766709439,-2.70045499293642,0.00692447052534376,0.585292885215907
"GNA15",1105.27139894739,0.774953980929192,0.286978803212348,2.70038752777072,0.00692587502701566,0.585292885215907
"PLCL2",307.50722155646,0.788393890995337,0.292131528514724,2.69876344742297,0.00695976273751375,0.585292885215907
"ANPEP",129.723113158531,1.06365500709805,0.394754694360827,2.6944708252812,0.00705004983088532,0.585292885215907
"IL17RB",1356.79325469766,1.23870579964492,0.45978074801081,2.6941228074556,0.00705741560913558,0.585292885215907
"CTNNAL1",477.950072963463,-0.617600107062414,0.229284965165251,-2.69359182193781,0.0070686672036395,0.585292885215907
"PMS1",1301.80788927975,-0.39804294228957,0.147781228244477,-2.69346077995156,0.00707144646296476,0.585292885215907
"SNED1",46.1055345352682,1.41501015462027,0.5254474648384,2.69296218805709,0.00708203003062692,0.585292885215907
"SCPEP1",178.867693644892,0.984705780410784,0.366116516258563,2.68959671766175,0.00715384134675169,0.585292885215907
"NCOA7",3472.40022525949,-0.368606385528051,0.137296581023925,-2.68474555432534,0.00725850419435123,0.585292885215907
"TSTD3",619.982674128034,0.447473686092612,0.166676051092367,2.68469095085913,0.00725969003266791,0.585292885215907
"GPR83",34.5471524973897,-1.90917286274283,0.711631143814118,-2.68281240827976,0.00730059287486519,0.585292885215907
"ST3GAL5",1483.81468949459,-0.467173469823563,0.174244340051801,-2.68113999963888,0.00733718127873345,0.585292885215907
"SEC23B",2158.97629273311,0.332090998559384,0.123941453118311,2.67941830762932,0.00737501966334012,0.585292885215907
"ALAS1",1358.46987296651,0.816056527596376,0.304588960858133,2.67920585597476,0.00737970091956341,0.585292885215907
"DGKE",405.23822784281,0.579796625207647,0.216440232022349,2.67878397555857,0.00738900472695875,0.585292885215907
"LINC00938",193.916743712465,0.90174391724852,0.336980317872253,2.67595426030302,0.00745168140251094,0.585292885215907
"FGGY",3217.91789227402,0.628328638653215,0.234981947098765,2.6739443025771,0.00749649008038907,0.585292885215907
"FAM241A",559.67460573804,-0.642102294394303,0.240154234225412,-2.67370798797417,0.00750177416560998,0.585292885215907
"REX1BD",149.300292925691,0.733430664753222,0.274772868255967,2.669225201922,0.00760264561425558,0.585292885215907
"DHX37",507.724028968263,0.558202171362262,0.20923364908719,2.667841304673,0.00763403071134324,0.585292885215907
"MORN4",33.9115849114849,1.53962776312122,0.577290867572463,2.66698790783826,0.007653442550657,0.585292885215907
"PKIG",594.982033433226,-0.600560900768188,0.225293108356255,-2.66568695842451,0.00768311980839303,0.585292885215907
"RPL37",6563.27880284425,0.605362870924672,0.227098335599905,2.66564204147749,0.00768414629324187,0.585292885215907
"PXMP4",282.201774678333,0.527290525024357,0.1983319148096,2.65862670428286,0.00784598423560455,0.587066980003185
"ZNF628",237.271816707384,0.609330347976473,0.22919966478989,2.65851325976001,0.00784862620707594,0.587066980003185
"PDLIM1",301.666046365858,-1.5281971627488,0.574928167389344,-2.65806625841294,0.00785904403002458,0.587066980003185
"TRMO",555.034979392645,0.389605284285201,0.146614168412398,2.65735084476498,0.00787574325497338,0.587066980003185
"MPZL1",888.47608485311,-0.521026971787025,0.19607945346158,-2.65722370492591,0.00787871428408989,0.587066980003185
"PXK",3325.51153936049,-0.441162200010886,0.166288593476762,-2.65299134947904,0.0079781915497628,0.591905830215736
"AP5S1",220.50388243069,0.656329370500681,0.247587984066092,2.65089347116893,0.00802791577602453,0.59302767486857
"PARL",905.700103603717,0.270422167381732,0.102085877401642,2.64896746018839,0.00807381049866245,0.593858215991747
"TMEM71",2244.72831863906,-0.503315368827315,0.190176647471852,-2.64656768072331,0.0081313231909359,0.594023947881387
"MBTD1",1776.87824128528,0.357021304602376,0.135007390917283,2.64445747878438,0.00818219863046338,0.594180170037633
"TMPRSS6",163.955372645891,0.991101713916199,0.375549507686043,2.63907073137413,0.0083133633737549,0.59779483308729
"KNDC1",126.460946285428,0.914091679041242,0.346435781632079,2.63856023975036,0.00832589066242288,0.59779483308729
"ABCA2",1363.00098352811,0.77504332581066,0.293813976669803,2.63787085486977,0.00834283473125084,0.59779483308729
"ORAI1",48.4334593738306,2.0780082519702,0.788107249200376,2.63670744569165,0.00837149958810535,0.59779483308729
"CD80",1522.88187236825,0.530998747063705,0.201697999529371,2.63264260579035,0.00847234473373814,0.600545846690396
"CWF19L1",726.363410232586,0.432686234518343,0.16437376481302,2.63233147339866,0.00848010823311214,0.600545846690396
"FZD6",536.684421039598,-0.615528959300895,0.23431247868118,-2.62695765400708,0.00861520545476853,0.603752101399844
"IFT43",415.907361051901,0.57161674579055,0.218086103378451,2.62105992511869,0.00876568523654856,0.603752101399844
"FRMD5",1746.29677976345,-0.484095915217672,0.184777510737626,-2.61988546812421,0.00879593025812893,0.603752101399844
"TMPRSS13",151.075087230938,0.937069493711881,0.357725062086324,2.61952430239778,0.00880524984933069,0.603752101399844
"ELOVL6",6852.9228994642,-0.471699252826314,0.180105020382993,-2.61902334439788,0.00881819127285602,0.603752101399844
"SLC7A11-AS1",170.69437435391,-1.7305297551569,0.660776456556526,-2.61893373770478,0.00882050790476391,0.603752101399844
"FANCI",3417.88574297749,-0.335115179676762,0.127968044037728,-2.61874112554196,0.0088254894122727,0.603752101399844
"RN7SK",391392.217905594,0.99484443000031,0.379989157614248,2.6180863586909,0.00884244237666944,0.603752101399844
"GALNT2",2694.10565869615,0.453399179131779,0.173340072888202,2.61566279266655,0.00890544580258125,0.605640992716816
"EXO1",738.04153952742,-0.496763061554999,0.190263950792903,-2.6109153073128,0.00903002537528325,0.611686066725709
"NFATC3",17559.1840605964,0.564569628600629,0.216563638106692,2.60694562363461,0.00913538664046452,0.616386835607405
"HMBS",312.281070464019,-0.927952377552616,0.356168563492038,-2.60537417579629,0.00917739746009163,0.61679308890608
"CNPY2",406.315582343726,0.610393116022729,0.234429775309576,2.60373544792539,0.00922139052218786,0.616884773148933
"SETP9",286.306126448997,-0.580108168623411,0.222891723576572,-2.60264562234461,0.00925075193717329,0.616884773148933
"CEPT1",2133.10851498484,0.327511456735094,0.126099387802408,2.59724858655372,0.00939738866940247,0.619397516097865
"SNTB1",12718.2283695676,-0.390823480329329,0.150538036579338,-2.59617761205057,0.00942673224771099,0.619397516097865
"PMEL",373.581675623416,-0.713021202453875,0.274748455370004,-2.59517820216186,0.00945418872154033,0.619397516097865
"DPF2",625.55739608186,0.440861653737585,0.170009166531898,2.59316402009928,0.00950974053753267,0.619397516097865
"NT5M",163.229097538086,-0.683483384552772,0.263882996117955,-2.59010013758998,0.00959480170814092,0.619397516097865
"KLHL11",492.920654764393,0.752364800816183,0.29047772741329,2.59009462624211,0.00959495532643561,0.619397516097865
"OR2A1-AS1",33.2429588285765,1.34908252572101,0.520946220973742,2.58967715170163,0.00960659800800789,0.619397516097865
"LY9",290.153594205006,-1.53768789103587,0.593814814463082,-2.58950745852681,0.00961133407220756,0.619397516097865
"RNF157",5729.81369384629,-0.500564172281277,0.193311130467513,-2.58942240454902,0.00961370867557662,0.619397516097865
"MESD",1746.88135127062,0.345606288242744,0.13358303800041,2.58720188892307,0.00967588813094426,0.620364697655099
"BRIP1",4825.43369062008,-0.415488304965598,0.160649410954493,-2.58630456530771,0.00970111675642236,0.620364697655099
"CES4A",618.132897772142,0.806817884825189,0.312741550142298,2.57982313017917,0.00988509295438499,0.626367244463658
"MKKS",526.021528588282,0.480775509669686,0.186457102354141,2.57847785683455,0.00992366596947514,0.626367244463658
"CENPO",930.993920781381,-0.567237319998373,0.219997674190285,-2.57837871280287,0.00992651402388506,0.626367244463658
